Removed Pin From Net: NetName=GND Pin=C607-2
Removed Pin From Net: NetName=BAT+ Pin=F601-1
Removed Pin From Net: NetName=TS+ Pin=F602-1
Removed Pin From Net: NetName=TS+ Pin=J10-1
Removed Pin From Net: NetName=TS- Pin=J10-2
Removed Pin From Net: NetName=BAT+ Pin=J10-3
Removed Pin From Net: NetName=Precharge_Temp_Sense Pin=NTC601-1
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=Q406-G
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=R410-1
Removed Pin From Net: NetName=VCC Pin=R609-1
Removed Pin From Net: NetName=Precharge_Temp_Sense Pin=R609-2
Removed Pin From Net: NetName=NetR_precharge_2 Pin=X601-1
Removed Pin From Net: NetName=TS+ Pin=X601-2
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=X601-3
Removed Pin From Net: NetName=Accumulator_Interlock Pin=X601-4
Removed Member From Class: ClassName=High Voltage Member=C607
Removed Member From Class: ClassName=High Voltage Member=F601
Removed Member From Class: ClassName=High Voltage Member=F602
Removed Member From Class: ClassName=High Voltage Member=NTC601
Removed Member From Class: ClassName=High Voltage Member=R_precharge
Removed Member From Class: ClassName=High Voltage Member=X601
Change Component Footprint: Designator=R609 Old Footprint=R0805FTK New Footprint=R1206FTK-W
Change Component Comment : Designator=R609 Old Comment=CR0805-JW-103ELF New Comment=HVC1206-2M0FT3
Change component parameters: Designator = "R609" ("R609"); Footprint = "R0805FTK"; UniqueID = "\TZEGYSLA\OKFFIZMU" ("\TZEGYSLA\OKFFIZMU")
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Standoff Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "780"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "710-824501600"; VariantName = "[No Variations]"
Added Component: Designator=D302(DTVS-DO-214AC)
Add component (AddParameter): Name = ".Creator"; Value = "DO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TVS Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Clamping Voltage"; Value = "10.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Where buy it"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.we-online.com/catalog/en/WE-TVSP?sq=824501600#824501600"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/2036401.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/2036401.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://katalog.we-online.de/pbs/datasheet/824501600.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://katalog.we-online.de/pbs/datasheet/824501600.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Wurth Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "824501600"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Breakdown Voltage"; Value = "7.02V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Breakdown Voltage"; Value = "7.02V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Pulse Current"; Value = "38.8A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Pulse Power"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Bidirectional"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0,28000, 10=0,26100, 50=0,26100, 100=0,23400, 500=0,20400, 1000=0,17400, 10000=0,17400 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Standoff Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "780"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "710-824501600"; VariantName = "[No Variations]"
Added Component: Designator=F_BAT+(Fuse_485001)
Add component (AddParameter): Name = ".Creator"; Value = "DO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Approvals"; Value = "UL,CSA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Body Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Fuses"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1945989.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1945989.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/2282568.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/2282568.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.mouser.com/ds/2/240/Littelfuse485_datasheet_080512-201879.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.mouser.com/ds/2/240/Littelfuse485_datasheet_080512-201879.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "http://components.arrow.com/part/dataview/56707787S790276N3675?src-supplier=Arrow+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://components.arrow.com/part/dataview/56707787S790276N3675?src-supplier=Arrow+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "http://www.littelfuse.com/~/media/Files/Littelfuse/Technical%20Resources/Documents/Data%20Sheets/Littelfuse_Fuse_485_Datasheet.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "http://www.littelfuse.com/~/media/Files/Littelfuse/Technical%20Resources/Documents/Data%20Sheets/Littelfuse_Fuse_485_Datasheet.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "http://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_485_datasheet.pdf.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "http://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_485_datasheet.pdf.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Cold Resistance"; Value = "304.4mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "4.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Current"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Type"; Value = "Board Mount (Cartridge Style Excluded)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.177inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "12.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Littelfuse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "0485001.DR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=2,82900, 5=2,81400, 10=2,75200, 50=2,59800, 100=2,40300, 250=2,37900, 500=2,30400, 1500=2,24900, 3000=2,11600 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "264mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "485"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "4123"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "0485001.DR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (AC)"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.177inch"; VariantName = "[No Variations]"
Added Component: Designator=F_TS+(Fuse_485001)
Add component (AddParameter): Name = ".Creator"; Value = "DO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Approvals"; Value = "UL,CSA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Body Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Fuses"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1945989.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1945989.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/2282568.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/2282568.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.mouser.com/ds/2/240/Littelfuse485_datasheet_080512-201879.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.mouser.com/ds/2/240/Littelfuse485_datasheet_080512-201879.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "http://components.arrow.com/part/dataview/56707787S790276N3675?src-supplier=Arrow+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://components.arrow.com/part/dataview/56707787S790276N3675?src-supplier=Arrow+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "http://www.littelfuse.com/~/media/Files/Littelfuse/Technical%20Resources/Documents/Data%20Sheets/Littelfuse_Fuse_485_Datasheet.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "http://www.littelfuse.com/~/media/Files/Littelfuse/Technical%20Resources/Documents/Data%20Sheets/Littelfuse_Fuse_485_Datasheet.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "http://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_485_datasheet.pdf.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "http://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_485_datasheet.pdf.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Cold Resistance"; Value = "304.4mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "4.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Current"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Type"; Value = "Board Mount (Cartridge Style Excluded)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.177inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "12.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Littelfuse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "0485001.DR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
